text,true_label,emotional_rae_prediction,emotional_rae_response,dominant_emotion,emotion_intensity,inference_time
President Obama has stopped using the phrase war on terror.,0,1,"REASONING: The statement ""President Obama has stopped using the phrase war on terror"" is likely a FAKE due to its high anger and fear-mongering tone, which aligns well with typical misinformation tactics. Additionally, the use of the word ""radical"" suggests that it may be a reference to ISIS rather than Al Qaeda, which would further increase the likelihood of fake news. The overall emotional intensity of the statement is also high, indicating that it may have been intentionally crafted to evoke strong emotions in the audience.",neutral,0.297360193,3.85427928
Florida is the first state requiring drug testing to receive welfare!,1,0,"Real
REASONING: The statement ""Florida is the first state requiring drug testing to receive welfare!"" contains strong indicators of real information, such as balanced emotions and neutrality, moderate intensity, and a focus on the topic of drug testing. Additionally, the statement highlights Florida's position as the first state to implement such requirements, which suggests that it may have some credibility. However, the use of fear-mongering language and the absence of specific details about how the program will work suggest that the statement could potentially be misleading or intentionally misinformative.",anger,0.887444112,4.413301945
You ... said that Barack Obama was not ready to be commander in chief.,0,0,"Real
REASONING: The statement by the target is likely to be real due to its high level of neutrality and balance in terms of emotional intensity. The statement also features balanced emotional expressions such as fear and joy, which suggests it may be based on factual information rather than misinformation. Additionally, the statement's use of language and tone suggest that it is likely to have been written by someone who has considered the issue from multiple perspectives and has taken steps to verify the accuracy of the information being presented.",neutral,0.494873859,3.679051161
On support for Ted Cruz,0,1,"REASONING: Based on the analysis of textual and emotional context, we can confidently conclude that the statement ""On support for Ted Cruz"" falls under the category of FAKE due to its high level of anger and fear combined with a lack of balance in emotional intensity. The use of neutral language and balanced emotional tone also suggest that the statement may have been crafted by someone who has not fully considered all sides of the issue. Additionally, the use of surprise and joy in the subject line suggests that the author may have intentionally created a false impression to manipulate the reader's emotions.",neutral,0.557721704,3.969700098
Thomas Jefferson expressed strong support for a balanced budget amendment in 1798.,0,0,"REAL
REASONING: Based on the textual content and emotional patterns analyzed, it can be concluded that the statement ""Thomas Jefferson expressed strong support for a balanced budget amendment in 1798"" is REAL. The dominant emotional profile indicates sadness, followed by fear, joy, sadness, and surprise. The overall emotional intensity is calculated to be 0.50, indicating high emotional risk detection. Manipulation tactics such as fear-mongering and rage-baiting were not present in the given material.",sadness,0.495231773,4.121976852
Shirley Sherrod was forced to resign before anybody on Fox said a word about this.,0,0,"Real
REASONING: The statement is likely false due to its high level of anger and fear, which are often indicative of fake news. Additionally, the use of the word ""shrouded"" suggests that there may be some attempt at deception or misdirection. The statement also contains a strong sense of urgency and a call to action, further indicating that it is likely a piece of propaganda intended to manipulate public opinion.",neutral,0.446822667,3.181459427
"With only 67 bills or so passed into law, 2013 was the least productive year in congressional history since weve been keeping record.",0,1,"REASONING: 

Emotional Misinformation Patterns:
- High anger/fear + low neutrality = Strong misinformation indicator
- Extreme emotional intensity = Often correlates with fake news
- Balanced emotions + moderate intensity = Typical of factual reporting

Similar Training Examples:
- Text: ""We have the lowest percentage of Americans working today of any year since 1977... Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created more jobs than ever before... The state has less employees this year than we did last year...""
- Text: ""Says the proposed fiscal year 2013 budget is still below the level of state spending when I took off... Debbie Wasserman Schultz missed 62 congressional votes one of the worst records of any member of Congress... In 2",neutral,0.408908385,6.094645023
"America has lost over 50,000 manufacturing factories on other trade deals.",0,1,"Real (FAKE)
Reasoning: The text material presents a case where the statement ""America has lost over 50,000 manufacturing factories on other trade deals"" is presented as a factual report, but it is actually an example of emotional misinformation. The statement's dominant emotion is surprise, which indicates that it was not intended to be taken at face value. Additionally, the text contains several emotional patterns such as fear, anger, and joy, which further supports the conclusion that the statement is likely misleading. Furthermore, the overall emotional intensity of the statement is high, indicating that it may contain manipulative tactics such as fear-mongering or rage-baiting.",surprise,0.329027892,5.33163023
Says an appointed board created under Obamacare will have the ability to come between you and your doctor in determining the best treatment options for you!,1,0,"Real
REASONING: The statement contains strong indicators of real information, including balanced emotions and neutrality, high anger and fear, and extreme emotional intensity. This suggests that it may be a case of misinformation rather than factual reporting.",fear,0.862413572,1.954992533
A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage.,0,1,"REASONING: 
The statement ""A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage"" is a real statement with a high degree of accuracy and balance in its emotional context. The dominant emotion is surprise, which is consistent with the fact that the statement does not contradict any previous information. The overall emotional intensity is low, indicating that it is unlikely to be intentionally misleading. Additionally, the textual content matches the expected tone and language used in political discourse, further reinforcing its credibility. However, there are some signs of manipulation, such as the use of fear-mongering and rage-baiting tactics. This suggests that the author may have intentionally created a false narrative to advance a particular agenda.",surprise,0.35615914,5.225602388
"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",0,0,"Real
REASONING: The statement ""Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED,"" compares favorably to other training examples such as neutral text that describes scholarship programs and mentions electricity rates. Additionally, it aligns with the dominant emotional profile of neutral, indicating no significant manipulation tactics. However, the overall emotional risk detected suggests there may be some potential for misinformation.",neutral,0.459772965,3.973059177
"The middle class can be defined to include those with income between roughly $20,000 and $60,000.",0,0,"Real
REASONING: The statement ""The middle class can be defined to include those with income between roughly $20,000 and $60,000,"" while not entirely true, does not contain any significant misinformation indicators such as high anger/fear, extreme emotional intensity, balanced emotions, or typical of factual reporting. This supports its classification as real.",neutral,0.401919481,2.780529976
"When we took office, let me remind you, there was virtually no international pressure on Iran.",1,1,"Real (FAKE)
Reasoning: 
The statement ""When we took office, let me remind you, there was virtually no international pressure on Iran,"" has high anger and fear emotional patterns, indicating it may be a case of inflammatory misinformation. The statement also contains elements of fear-mongering and rage-baiting, which can be indicative of manipulation tactics used by those seeking to create fear and panic among their audience. Additionally, the use of the word ""crippling"" suggests potential economic sanctions were lifted, further reinforcing the falsehood.",sadness,0.712836097,4.14125061
"Gov. (Rick) Perry helped balance his budget with about $6 billion worth of federal help, which he happily took, and then started blaming the members of Congress who had offered that help.",0,0,"REAL
REASONING: Based on the given statement, the textual content and emotional patterns indicate that the statement is likely to be a real fact rather than a fake one. The statement highlights Governor Perry's involvement in the passage of a bill that provided financial assistance to the state during its economic downturn, which he claimed was a ""record-breaking"" achievement. However, the statement also mentions that Perry took advantage of federal funds, which he claims to have been happy to take but later blamed on the members of Congress who offered the same aid. This suggests that the statement may contain elements of both truth and falsehood, with some portions being true while others being fabricated. Additionally, the use of high emotional intensity and fear-mongering language suggest that the statement may be intended to manipulate the audience into believing something untrue.",neutral,0.775750057,6.213013172
"But if my opponent had his way, the millions of Floridians who rely on it would've had their Social Security tied up in the stock market this week.",1,1,"Real (FAKE)

REASONING:
The statement ""But if my opponent had his way, the millions of Floridians who rely on it would've had their Social Security tied up in the stock market this week"" contains high anger and fear, which indicate that it is likely to be a fake news article. The statement also has a strong emotional intensity score of 0.73, indicating that it may contain inflammatory language and manipulative tactics. Additionally, the statement mentions the potential impact on Florida residents, which could suggest a deliberate attempt to create fear and panic among the target audience. Overall, the combination of textual and emotional evidence suggests that this statement is most likely a fake news article.",anger,0.725499952,4.902338028
Polls now show a majority of Catholics favor marriage equality.,0,1,"REASONING: Based on the textual content and emotional patterns analyzed, we conclude that the statement ""Polls now show a majority of Catholics favor marriage equality"" is likely to be a FAKE due to its high level of anger and fear combined with a lack of balance in emotional intensity. The statement's use of neutral language and balanced emotional tone may have been intentionally manipulated to create a false impression of support among Catholics. Additionally, the statement's mention of ""same-sex marriage"" suggests that it could potentially be used to further divide religious communities rather than promote unity.",neutral,0.76982958,4.44701767
The clear majority of Republican voters think that any deficit reduction package should have a balanced approach and should include some revenues.,1,0,"Real
REASONING: 
In accordance with the given text material, it can be concluded that the statement ""The clear majority of Republican voters think that any deficit reduction package should have a balanced approach and should include some revenues,"" is a real statement due to its similarity in terms of textual content and emotional context. The statement has been analyzed based on its content, which includes identifying the majority opinion among Republican voters regarding deficit reduction packages, along with mentioning the need for balancing approaches and including some revenues. Additionally, the statement has been analyzed based on its emotional context, where the use of strong emotions such as surprise, anger, fear, joy, sadness, and surprise have been observed. This suggests that the statement is likely to be a real one, as it aligns well with the given information.",surprise,0.968619294,6.542749643
Says critics called the original GI Bill welfare.,1,0,"Real

REASONING: 
1. Textual Content Analysis: The statement mentions criticisms of the GI Bill welfare, which is consistent with the target's similarity to other training examples that also mention criticism. The use of strong emotions such as surprise and fear further supports this interpretation.
2. Emotional Context Analysis: The statement highlights the potential negative consequences of President Obama's decision to turn the Farm Bill into a food stamp bill and the Cash for Clunkers program into a space program. These actions are seen as significant missteps by many, leading to increased scrutiny from the public.
3. Combination of Content and Emotional Patterns: The statement combines textual content (the claim about the GI Bill being criticized) with emotional context (anger, surprise, and fear). This suggests that the statement was likely generated through a deliberate attempt to manipulate emotions and create",fear,0.873427774,6.419790268
Mayor Fung wants to punish our childrens education by removing 12 million dollars from current funding to pay for his private charter school. Your taxes would increase by between 6 and 8 percent per year.,1,0,"Real

REASONING:
The statement ""Mayor Fung wants to punish our childrens education by removing 12 million dollars from current funding to pay for his private charter school. Your taxes would increase by between 6 and 8 percent per year"" contains a mix of emotional patterns that indicate it may be a fake news article. The statement's dominating emotion is fear, which is present in the use of the word ""punish"" and the mention of 12 million dollars being removed from current funding. Additionally, the statement uses strong language such as ""your taxes,"" which suggests a political agenda rather than a genuine concern for the community. This combination of factors indicates that the statement is likely fake news, especially given its similarity to other training examples.",fear,0.850204454,5.502960205
Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,0,1,"REASONING: The statement ""Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure"" is considered real due to its similarity with other training examples. The statement's dominant emotion is neutral, indicating no significant emotional risk, while its overall emotional intensity is low. Additionally, it contains several emotional patterns consistent with misinformation, including fear and sadness. The combination of these factors suggests that the statement may be intentionally misleading or manipulative.",neutral,0.487670067,4.03819418
"If Cory Gardner gets his way, youd better stock up on condoms.",1,0,"Real
REASONING: Based on the given text material, it appears that the statement ""If Cory Gardner gets his way, youd better stock up on condoms"" is likely to be a real statement due to its neutral tone and lack of any strong emotional indicators. The use of neutral language also suggests that the statement may not be intentionally misleading. Additionally, the statement mentions Gardner's eight-year crusade to outlaw birth control, which could suggest that there is some truth behind the claim. However, the use of the word ""cheaper"" and ""easier"" in the second sentence suggests that the statement may contain some false information or exaggeration. This could potentially indicate that the author is trying to manipulate the reader into believing something that isn't true. Overall, while the statement does have some potential misinformation, it seems more likely to be a genuine statement based on the textual and emot",surprise,0.837346348,6.715810776
Health care mandate will require imprisonment and fines for Americans who cant afford to purchase insurance or pay hefty government penalties.,1,1,"FAKE
REASONING: The statement contains extreme emotional context that aligns with typical misinformation tactics such as fear-mongering, rage-baiting, and manipulative language. It also features strong anger and fear emotions, which indicate it may contain inflammatory information. Additionally, the statement's use of hyperbole and exaggeration further reinforces its falsehood.",anger,0.962374967,2.862356901
Ohio today has the fewest number of state employees since the Reagan administration.,0,1,"REASONING: 

Emotional Misinformation Patterns:
- High anger/fear + low neutrality = Strong misinformation indicator
- Extreme emotional intensity = Often correlates with fake news
- Balanced emotions + moderate intensity = Typical of factual reporting

Similar Training Examples:
- Text: ""Ohio today has the fewest number of state employees since the Reagan administration.""
- Emotion: neutral (intensity: 0.50)
- Example 1 (similarity: 0.569):
    - Text: ""Says Ohio is one of just 17 states with an estate tax, and it has the lowest threshold in the nation...""
    - Emotion: neutral (intensity: 0.50)
    - Example 2 (similarity: 0.569):
        - Text",fear,0.358232888,6.653784275
"If you are going to kill the families of terrorists, realize that theres something called the Geneva Convention were going to have to pull out of.",0,0,"REASONING: The statement ""If you are going to kill the families of terrorists, realize that theres something called the Geneva Convention were going to have to pull out of"" is a real statement with neutral emotional context. This statement exhibits high levels of anger and fear, but balances them with moderate intensity. It also contains elements of balance, such as the mention of the Geneva Convention, which suggests that the statement may be factually accurate. Additionally, the statement's use of the word ""kill"" implies that there could be consequences for carrying out the action. Overall, the statement has a high degree of credibility due to its clear intent and potential consequences.",neutral,0.54091388,4.531323195
"Since President Obama took office, 2 million jobs. Gone.",0,1,"Real (FAKE)

REASONING: 
The text material contains high levels of anger and fear, along with balanced emotional intensity, which indicates it may be a fake news article. The use of strong emotive language such as ""lost,"" ""gone,"" and ""jobs"" further reinforces the fake nature of the statement. Additionally, the use of hyperbole and exaggeration, such as ""over 2 million,"" suggests that the author is trying to create a dramatic impact. This combined with the lack of neutrality in the sentiment, highlights the potential for misleading information. Furthermore, the use of emotional terms like ""anger"" and ""surprise"" suggest that the author may have intentionally used these words to manipulate their audience's emotions. Finally, the overall emotional intensity score of 0.60 suggests that the statement is likely to be a fake news article.",neutral,0.604211399,6.551967859
As executive director of the Democratic Party of Virginia there were 300 people on my payroll in 2008.,0,1,"REASONING: 
The statement ""As executive director of the Democratic Party of Virginia there were 300 people on my payroll in 2008,"" is a real statement based on textual content and emotional patterns. The high anger/fear and low neutrality indicators suggest that it may be a fake news piece. However, the balanced emotions and moderate intensity indicate that it may have some truth to it. Additionally, the use of hyperbole (""over 300"") suggests that the author may have exaggerated the number. Finally, the mention of unions spending millions to elect Obama indicates that the statement may contain misleading information about union activity during the election cycle. Overall, while the statement does not meet all criteria for being a true fact, it appears to be a potential example of fake news.",neutral,0.434648691,5.562726498
Swaziland has the highest rate of HIV infection in the world.,0,0,"Real
REASONING: 
The statement ""Swaziland has the highest rate of HIV infection in the world"" contains high anger and fear combined with balanced emotions, indicating that it may be a case of falsified information. The use of emotive language such as ""skyrocketing,"" ""now,"" and ""among,"" along with the mention of ""women,"" further reinforces the falsehood. Additionally, the use of hyperbole (""skyrocketing"") and exaggeration (""among""), which are commonly used by misinformers, highlights the intentional distortion of facts. Overall, the statement's emotional context indicates that it may be a deliberately fabricated piece of misinformation.",sadness,0.585361491,5.297734976
The birther movement was started by Hillary Clinton in 2008. She was all in!,1,1,"Real (FAKE)
REASONING: 
1. Comparison of textual content with similar training examples shows that the statement is likely to be a real one. The statement contains elements such as high anger and fear, which are typical indicators of fake news. Additionally, the statement mentions a record number of abortions and a record number of support for amendments, which further strengthen its credibility.
2. Analysis of emotional patterns against known misinformation signatures reveals that the statement is likely to be a fake one. The statement uses strong emotional language, including surprise and joy, which are commonly found in propaganda and misinformation. It also includes claims about the use of birthright citizenship and an increase in adoption rates, which are also common tactics used by propagandists.
3. Manipulation tactics are not present in the statement. There is no evidence of deliberately distorting facts or intentionally",fear,0.78273564,6.359485865
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",0,0,"REASONING: Based on the textual content and emotional patterns analyzed, we conclude that the statement ""Payday lenders profit from the poor by charging 1,000-plus percent interest"" is likely to be a FAKE due to its high anger/fear and low neutrality indicators. The statement's similarity to other similar examples suggests that it may also contain manipulative tactics such as fear-mongering and rage-baiting.",neutral,0.659203846,3.254377365
Says Mike Gallaghers plan would cut Social Security benefits for two-thirds of seniors.,0,1,"REASONING: 
The statement ""Says Mike Gallagher's plan would cut Social Security benefits for two-thirds of seniors"" is a FAKE due to its high anger and fear-mongering tone, which aligns with typical misinformation tactics used by politicians to manipulate public opinion. The statement also contains balanced emotions and moderate intensity, indicating that it may be more likely to be factually accurate than false. Additionally, the statement's use of the word ""cut"" suggests that there could potentially be some form of adjustment made to social security benefits, but without any specific details provided. This indicates that the statement may contain elements of truth, but they have been distorted through intentional deception.",neutral,0.446770304,5.407212973
Says PolitiFact listed Governor Scott Walker of Wisconsin as the Governor who told the most lies and our own untruthful Governor Chris Christie made it into Politifacts top five of Lie - en Governors.,1,0,"Real

REASONING: 
The statement ""Says PolitiFact listed Governor Scott Walker of Wisconsin as the Governor who told the most lies and our own untruthful Governor Chris Christie made it into Politifacts top five of Lie - en Governors"" contains a mix of textual and emotional evidence indicating a real statement. The statement highlights the fact that Governor Walker's reputation for telling the truth has been tarnished by false claims made by his political opponents, while Governor Christie's record of making more lies than any other governor in recent history has earned him a place in Politifact's top five list. Additionally, the use of strong emotional language such as ""angry,"" ""surprised,"" and ""joy"" suggests that the statement is likely to be misleading or deceptive.",sadness,0.911694543,5.499908209
Ive been through four campaigns and have not done any negative campaigning.,0,0,"REAL
REASONING: Based on the similarity between the target statement and similar training examples, it appears that the statement is likely to be a real claim made by the candidate. The dominant emotional profile indicates that the statement is likely to be neutral, with high levels of anger and fear, but also some balance in terms of moderate intensity. This suggests that there may be some degree of misinformation present, but it is unlikely to be particularly extreme or malicious. Additionally, the combination of textual and emotional evidence provides strong support for the conclusion that the statement is likely to be true.",neutral,0.671118161,4.311841488
Some of the men serving in the (Afghan) armed forces have never driven a vehicle before.,0,0,"Real
REASONING: The statement is true based on the given training examples and the analysis framework outlined above. The combination of textual content and emotional patterns indicates that the statement is likely to be false due to its high anger and fear levels, which aligns with typical misinformation tactics.",neutral,0.547508264,2.134151459
Harry Reid has voted to give illegals Social Security benefits even for the time they were here illegally.,1,1,"Real (FAKE)

REASONING:

Emotional Context Analysis:

Similar Training Examples:

- Text: ""The Senate voted this week to allow illegal aliens access to Social Security benefits.""
    Similar Training Example: Text: ""Senate immigration legislation is the Obama-Reid plan to give illegal immigrants amnesty.""
        Similar Training Example: Text: ""The Democrats' health care bills would provide ""free health care for illegal immigrants.""...""
            Similar Training Example: Text: ""Some Republican leaders in Congress are pushing to make privatizing Social Security a key part of their tax reform agenda.""
                Similar Training Example: Text: ""Taxpayer-funded benefits to illegals in California are ""a skyrocketing cost under Obamacare.""...""
                    Similar Training Example: Text: ""Dominant em",sadness,0.949537583,6.177497387
No one beta-tested healthcare.gov.,0,0,"REAL
REASONING: The statement ""No one beta-tested healthcare.gov."" exhibits high levels of anger and fear, along with balanced emotions and moderate intensity. This suggests it may be a case of fear-mongering or propaganda aimed at scaring individuals away from the Affordable Care Act (ACA). Additionally, the statement contains references to ""beta-testing,"" which can suggest a deliberate attempt to create confusion around the ACA's implementation process. Overall, while there is no direct evidence of fraudulent activity, the statement's emotional context and use of fear-inducing language make it highly susceptible to misinformation.",fear,0.400635595,5.200762987
Says President Barack Obama released a statement on the death of brother Robin Williams before ... a statement on brother Michael Brown.,0,0,"Real
REASONING: Based on the textual content and emotional patterns analyzed, it can be concluded that the statement is likely to be a real event rather than a fake one. The statement highlights the release of a statement by President Barack Obama on the death of his brother, Robin Williams, which was followed by a statement from his wife, Michelle Obama, regarding their brother, Michael Brown. The statement contains no mention of any other events or incidents related to either brother, indicating that it is likely to have been a genuine occurrence. Additionally, the text features neutral emotional intensity, suggesting that there may not be any deliberate attempts at misleading or manipulating the audience.",neutral,0.613644094,4.627251387
This is not a mosque. Its a cultural center that has a prayer area.,1,0,"REAL
REASONING: Based on the given text material, it appears that the statement ""This is not a mosque. Its a cultural center that has a prayer area"" is a real statement. The dominant emotional profile suggests that the statement is likely to be true based on the dominance of joy in the emotional score distribution. Additionally, the statement contains no clear signs of being a hoax or falsehood, such as extreme emotional intensity or manipulative tactics. This analysis supports our conclusion that the statement is a real one.",joy,0.880677938,3.543789148
"Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal.",1,1,"REASONING: 
The statement ""Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal"" is a FAKE due to its high anger and fear emotional context. The statement contains several elements that indicate inflammatory misinformation, including the use of emotive language such as ""lawbreakers,"" ""illegal aliens,"" and ""seize."" Additionally, the statement omits any mention of the specific policy being implemented, which suggests that it may be part of a larger campaign to create fear around immigrants. This combined with the lack of detail about how the policy will actually work further supports the conclusion that the statement is likely fake.",neutral,0.785886825,5.277880907
Says signs posted at projects funded by the federal stimulus act has cost 20 or 40 million dollars.,0,1,"REASONING: The statement ""Says signs posted at projects funded by the federal stimulus act has cost 20 or 40 million dollars"" exhibits high levels of anger and fear, indicating it may be a case of emotional misinformation. This sentiment is reinforced by the use of strong negative language such as ""spent,"" ""cost,"" and ""million."" Additionally, the statement's focus on the federal stimulus act suggests it may have been created by someone who is politically motivated to spread false information. The overall emotional intensity of the statement is also high, with a score of 0.51. The statement's manipulative tactics include the use of fear-mongering and rage-baiting.",neutral,0.50764941,5.065827131
"Since February 2009, the private sector has lost millions of jobs while the federal government has grown by hundreds of thousands of workers.",0,0,"REAL
REASONING: Based on the textual content and emotional patterns analyzed, it can be concluded that the statement is a true representation of current events. The high level of neutrality in the emotional context indicates that there is no significant manipulation or distortion present. Additionally, the dominance of neutral emotions such as fear and joy suggests that the statement is not likely to contain any false information. Overall, the analysis provides strong support for the label of REAL.",neutral,0.367506818,3.667602777
"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.",0,1,"REASONING: The statement ""I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere"" falls into the category of FAKE due to its high level of anger and fear combined with low neutrality. This suggests it may be intentionally misleading or designed to create a negative impression. Additionally, the use of the word ""thanks"" implies a sense of gratitude towards the congressmen who supported the bridge project, which could further contribute to the overall message of negativity. Overall, the combination of textual and emotional evidence points to a deliberate attempt at misinformation.",neutral,0.693205431,4.159927368
The first round of stimulus ... it created zero jobs.,1,0,"REAL
REASONING: Based on the similarity between the target statement (""The first round of stimulus created zero jobs"") and similar training examples, the statement is likely a real claim that contains some degree of truth. However, the overwhelmingly negative emotional profile suggests that the statement may be part of a larger campaign of misinformation designed to sow doubt and confusion around the economic impacts of the stimulus package. This could include deliberate attempts at fear mongering or rage-baiting, which would further undermine trust in government institutions and public services.",anger,0.816492455,3.870459557
"Says Bill Clinton signed a law very similar to, and Barack Obama voted for a law something like, Indianas Religious Freedom Restoration Act.",0,0,"Real
REASONING: The statement is consistent with the training data, including high anger/fear and balanced emotions, indicating it is likely to be misinformation. The statement also highlights the use of strong misinformation indicators such as extreme emotional intensity and balance between emotions. Additionally, the statement mentions the Indiana Religious Freedom Restoration Act and the Violence Against Women Act, which align with the training data. Overall, the statement appears to be propaganda designed to manipulate emotions and promote a particular political agenda.",neutral,0.511312881,4.20580101
"In Texas, we teach both creationism and evolution in our public schools.",1,0,"REAL
REASONING: The statement ""In Texas, we teach both creationism and evolution in our public schools"" contains a strong indication of real information, particularly in terms of the emotional context. The use of fear and extreme emotions in the statement suggests that it may be part of a deliberate effort to sow doubt about science education in Texas. Additionally, the statement mentions both creationism and evolution, which are commonly taught in public schools across the country. This combination of content and emotional context provides strong support for the claim being true.",fear,0.893576487,3.659675121
