text,true_label,rae_prediction,rae_response,dominant_emotion,emotion_intensity,inference_time,dataset_type,domain
We spend more on illegal immigrants than we do on our veterans.,0,1,"Based on the given statement, ""We spend more on illega l immigrants than we do on our veterans,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement does not mention any specific figures or data that would support the claim that we spend more on illega l immigrants than we do on our veterans. This lack of information makes it difficult to determine whether the statement is true or false, and it lacks a strong emotional context that could influence its classification as either REAL or FAKE. Therefore, based on the given text, the statement can be classified as a FAKE statement.",neutral,0.7365708947181702,10.18187165260315,general,"immigration,veterans"
"The typical working family has seen their income go up over 4,000 over the last eight years.",0,1,"Based on the similar examples and emotional analysis, the target statement is considered to be a FAKE due to its lack of factual accuracy. The statement claims that the typical working family has seen their income go up over 4,000 over the last eight years, which is not supported by any reliable data or statistics. The statement also fails to mention any specific details about the wealthiest Americans paying a lower effective tax rate than mid-class families, which is also not supported by any reliable data or statistics. Additionally, the statement claims that the auto industry has added nearly 700,000 jobs since we saved it from bankruptcy, which is also not supported by any reliable data or statistics. Therefore",neutral,0.8468373417854309,11.84281039237976,general,"economy,income"
The murder rate in our country is the highest its been in 47 years.,1,1,"Based on the given statement, ""The murder rate in our country is the highest its been in 47 years,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement contains no information about the actual crime rate or any relevant data that could support its claim. It only states that the murder rate has increased, without providing any evidence or supporting details. This type of statement is often used in political campaigns or for sensationalist purposes, and it does not provide a reliable source of information for accurate factual analysis.",disgust,0.3566234111785888,9.546066522598267,general,crime
We have the highest tax rate anywhere in the world for businesses.,1,1,"Based on the given statement, ""We have the highest tax rate anywhere in the world for businesses,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement is based on an unverifiable claim and lacks any supporting evidence or data. It is not backed by any reliable sources or statistics, making it a fabricated piece of information. This type of statement is often used in political campaigns or as part of a propaganda campaign to mislead the public. The factual accuracy of this statement is therefore considered to be ""REAL,"" and its classification as such reflects the intentional manipulation of facts for political gain.",neutral,0.9223968386650084,10.141160488128662,general,"taxes,economy"
Climate change is real and is caused primarily by human activity and greenhouse gases.,0,0,"Based on the given statement, ""Climate change is real and is caused primarily by human activity and greenhouse gases,"" it can be classified as a REAL statement based on its factual content. The statement accurately reflects the scientific consensus that climate change is primarily caused by human activities such as burning fossil fuels, deforestation, and industrialization. Additionally, the statement does not contain any false or misleading information regarding greenhouse gas emissions or their effects on the environment. Therefore, it can be considered a factual and accurate representation of the scientific consensus on climate change.",neutral,0.3795783817768097,9.993464708328247,general,"environment,climate-change"
The concept of global warming was created by and for the Chinese to hurt US manufacturing.,1,1,"Based on the given statement, ""The concept of global warmings was created by and for the Chinese to hurt US manufacturing,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement is based on an unsupported claim that the Chinese are responsible for causing global warming through their industrial activities. While there may be some truth to this claim, it is not supported by scientific evidence or reliable sources. Therefore, the statement is considered a fake and should not be trusted as a factual representation of reality.",anger,0.4188391268253326,9.540432691574097,general,"environment,china"
More Americans have health insurance today than ever before in our history.,0,0,"Based on the given statement, ""More Americans have health insurance today than ever before in our history,"" it can be classified as a REAL statement based on its factual content. The factual information provided is accurate and supported by reliable sources such as the Centers for Medicare & Medicaid Services (CMS) and the U.S. Census Bureau. Additionally, the statement highlights that more Americans have access to health insurance than ever before in our history, which is a significant achievement that deserves recognition. Therefore, it can be considered as a true factual statement.",neutral,0.875715434551239,10.24879503250122,general,"health-care,insurance"
Planned Parenthood is selling baby parts for profit to medical researchers.,1,1,"Based on the given statement, ""Planned Parenthood is sellling baby parts for profit to medical researchers,"" it can be classified as a FAKE statement due to its lack of factual content. The statement contains no information about Planned Parenthood's actual activities or actions, and instead focuses solely on allegations made by anti-abortion activists. This type of statement is often used to discredit or misinform people without providing any evidence or supporting facts. Therefore, it can be considered a FAKE statement based on its lack of factual accuracy.",disgust,0.9550554156303406,9.957756757736206,general,"abortion,health-care"
Border apprehensions are at a 40-year low under this administration.,0,1,"Based on the given text, ""Boorder apprehensions are at a 40-year low under this administration."" is considered to be a FAKE statement as it lacks any factual content. The statement does not mention any specific data or statistics that would support its claim. Additionally, the emotional context of the statement suggests that it is likely to be false and disguised. Therefore, based on the given text, ""Boorder apprehensions are at a 40-year low under this administration."" is considered to be a FAKE statement.",neutral,0.698138415813446,9.55016565322876,general,"immigration,border-security"
ISIS formed during the Obama administration because of weak leadership.,1,1,"Based on the given statement and the provided examples, the statement is considered to be a FAKE due to its lack of factual content. The statement does not mention any specific events or actions that occurred during the Obama administration, which would have been necessary for it to be considered as a true representation of the facts. Additionally, the emotional context indicates that the statement is likely to be based on fear and negative sentiment rather than accurate information.",fear,0.5322259068489075,8.100977659225464,general,"terrorism,obama"
Weve cut the federal deficit by more than half since I took office.,0,1,"Based on the given statement and the emotional context, we can conclude that it is a FAKE statement. The statement contains several inaccuracies and exaggerations, including the claim that the federal deficit has been cut by more than half since the president took office. This is not supported by factual data, as the actual figure is 10.6% (as mentioned in Example 2), while the president's claim is based on a misleading statistic from a report by the Congressional Budget Office (CBO). The CBO has stated that the federal deficit will not be cut by more than half, and the president's statement is therefore false.",neutral,0.8240562081336975,11.08940863609314,general,"federal-budget,deficit"
We are the only advanced country that doesnt guarantee paid family leave for workers.,0,0,"Based on the given statement, ""We are the only advanced country that doesn't guarantee paid family leave for workers,"" it can be classified as a REAL statement based on its factual content. The statement is backed by data and statistics from reliable sources such as the World Bank and the United Nations. Additionally, the statement highlights the disparity in tax rates between wealthy Americans and middle-class families, which is a relevant issue that affects millions of people worldwide. Therefore, it can be considered factually accurate.",neutral,0.9070786237716676,8.953786611557007,general,"families,labor"
I watched thousands of people celebrating on 911 in New Jersey when the towers came down.,1,1,"Based on the given statement, ""I watched thousands of people celebrating on 911 in New Jersey when the tower(s) came down,"" it can be classified as a FAKE statement due to its lack of factual content and emotional context. The statement is based on an unverifiable claim that thousands of people were celebrating on 9/11 in New Jersey, which is not supported by any reliable sources or evidence. The statement lacks any mention of the actual events that occurred on that day, making it a fabrication. Additionally, the emotional intensity of the statement is low, indicating that it may be based on fear and anxiety rather than factual information. Overall, this statement is",joy,0.9628371596336364,10.55637264251709,general,"terrorism,candidates-biography"
"Under Obamacare, insurance premiums have doubled for working families.",1,1,"Based on the similar examples and emotional analysis, the target statement is considered to be FAKE due to its lack of factual accuracy. The statement claims that under Obamacare, insurance premiums have doubled for working families, but this claim is not supported by any reliable sources or data. Instead, the statement relies on anecdotal evidence and emotional appeals to paint a misleading picture of the situation. Therefore, it cannot be considered to be factually accurate.",neutral,0.6523335576057434,9.015225887298584,general,"health-care,obamacare"
The wealthiest Americans pay a lower effective tax rate than middle-class families.,0,0,"Based on the given statement, ""The wealthiest Americans pay a lower effective tax rate than mid-class families,"" it can be classified as REAL based on its factual content. The statement is backed by data and statistics that support the claim. Additionally, the statement's emotional context is neutral, with no strong feelings or negative emotions expressed. Therefore, it can be considered a true representation of the facts.",neutral,0.7938598394393921,8.187188148498535,general,"taxes,inequality"
Weve reduced the nuclear threat through diplomacy and international cooperation.,0,0,"Based on the given statement, ""Weve reduced the nuclear threat through diplomacy and international cooperation,"" it can be concluded that the statement is REAL in terms of its factual content. The statement accurately reflects the current state of affairs regarding nuclear threats, as evidenced by the use of the word ""diplomacy"" to describe diplomatic efforts aimed at reducing them. Additionally, the statement highlights the international cooperation that has been implemented in this regard, which is a positive development. The statement's emotional context is neutral, with no strong or weak emotions being expressed. Overall, the statement can be considered factually accurate and supported by evidence.",neutral,0.2672548592090606,10.37287449836731,general,"foreign-policy,nuclear"
We have the worst trade deals ever negotiated in the history of our country.,1,1,"Based on the given statement, ""We have the worst trade deal ever negotiated in the history of our country,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement is based on an unsupported claim and lacks any evidence or sources to support it. The statement's emotional context is dominated by disgust, which indicates that the speaker is trying to deceive or mislead others. This emotional intensity level is high, indicating a strong desire to deceive or mislead. Overall, the statement is not factually accurate and should be classified as a FAKE statement.",disgust,0.9358038306236268,10.170855283737183,general,"trade,economy"
Wind energy jobs have tripled in the last eight years of this administration.,0,0,"Based on the similar examples and emotional analysis, the target statement is considered to be REAL. The statement accurately reflects the factual content of the given example, which states that WinD energy jobs have tripled in the last eight years of this administration. Additionally, the statement does not contain any false or misleading information, as it uses neutral language and provides a clear and concise summary of the facts. Therefore, the statement is considered to be truthful.",neutral,0.7832866311073303,8.782308578491211,general,"energy,jobs"
Hillary Clinton wants to abolish the Second Amendment and take away guns.,1,1,"Based on the given statement, ""HiLLary Clinton wants to abolish the Second Amendment and take away guns,"" it can be classified as a FAKE statement based on its lack of factual content. The statement is not backed by any reliable sources or evidence, and it lacks any specific details about Clinton's plans or intentions. Additionally, the statement does not mention any specific policies or actions that would result from Clinton's plan to abolish the Second Amendment and take away guns. Therefore, it cannot be considered as a factual statement.",neutral,0.319900244474411,9.644758701324463,general,"guns,second-amendment"
"Mexico will pay for the border wall, 100 percent, no doubt about it.",1,1,"Based on the given statement, ""Mexico will pay for the border wall, 100 percent, no doubt about it,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement is based on an unsupported claim that Mexico will pay for the border wall, which has not been confirmed by any credible sources or official statements from Mexican authorities. Additionally, the statement does not provide any evidence to support this claim, and it lacks a clear and concise explanation as to why Mexico would be willing to pay for the wall. Therefore, based on the given statement, ""Mexico will pay for the border wall, 100 percent, no doubt about it,""",neutral,0.9007164239883423,11.223262071609497,general,"immigration,mexico"
Small businesses create two out of every three new jobs in America.,0,0,"Based on the given text, the target statement is considered to be REAL due to its factual content and emotional context. The statement accurately states that small businesses create two out of every three new jobs in America, which is a significant number. Additionally, the statement's label (REAL) indicates that it is based on facts and data, while the other examples provided are not. Therefore, the statement is considered to be REAL.",neutral,0.8273512125015259,8.386234998703003,general,"economy,small-business"
"The auto industry has added nearly 700,000 jobs since we saved it from bankruptcy.",0,1,"Based on the given text, the target statement is considered to be REAL due to its factual content and emotional context. The statement accurately reflects the positive impact of government intervention in the auto industry, which has led to nearly 700,000 jobs being added since the industry was saved from bankruptcy. The statement also highlights the importance of small businesses creating two out of every three new jobs in America and the average increase in income for a typical working family over the last eight years. Therefore, the statement is considered to be factually accurate and not fake or exaggerated.",neutral,0.5308055877685547,10.052536964416504,general,"jobs,auto-industry"
Weve strengthened sanctions against Russia for their aggression in Ukraine.,0,0,"Based on the given statement, ""Weve strengthened sanctions against Russia for their aggression in Ukraine,"" it can be concluded that the statement is REAL. The emotional context of anger is high, with a dominant emotion of anger at the mention of Russia's aggression in Ukraine. The fear level is low, indicating that there is no significant concern about the situation. The joy level is also low, indicating that there is no positive sentiment towards the statement. The emotional intensity is 0.70, which indicates a strong and intense anger emotion. Overall, this statement is REAL in terms of factual accuracy.",anger,0.700035810470581,10.038940668106079,general,"foreign-policy,russia"
"Common Core is education through Washington D.C. bureaucrats, not local control.",1,1,"Based on the given statement, ""Common Core is education through Washington D.C. bureaucrats, not local control,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement does not mention any specific examples or data that support the claim that Common Core is implemented through Washington D.C. Buraucrats. Instead, it only states that Common Core is education through Washington D.C. Buraucrats, which is a vague and unsubstantiated claim. This lack of factual accuracy makes the statement an inaccurate representation of reality, and it cannot be considered as a true representation of the truth.",neutral,0.9579477906227112,10.60610032081604,general,"education,common-core"
"We have people pouring into the country, and theyre bringing drugs and crime.",1,1,"Based on the given statement and its similarity to other fake news, I would classify it as a FAKE news article. The statement contains false information that is not backed by any credible sources or evidence. It also lacks context and fails to provide any facts or statistics to support its claims. This type of fake news often targets specific demographics or groups, such as immigrants or crime victims, and uses emotional appeals to manipulate people's emotions and beliefs. The statement is not only false but also disguises the truth in an attempt to deceive and mislead readers.",disgust,0.6016875505447388,10.323770761489868,general,"immigration,crime"
